fdc_id,description,calories
330458,"Oil, coconut",833.0
329716,"Egg, yolk, dried",654.0
323294,"Nuts, almonds, dry roasted, with salt added",620.0
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",612.0
324860,"Peanut butter, smooth style, with salt",597.0
329490,"Egg, whole, dried",575.0
749420,"Pork, cured, bacon, cooked, restaurant",500.0
1104766,"Flour, soy, full-fat",452.0
333008,"Cookies, oatmeal, soft, with raisins",430.0
325036,"Cheese, parmesan, grated",421.0
328637,"Cheese, cheddar",408.0
746767,"Cheese, swiss",393.0
326135,"Cheese, swiss",393.0
334247,"Sugars, granulated",385.0
746784,"Sugars, granulated",385.0
323793,"Egg, white, dried",376.0
747429,"Cheese, American, restaurant",375.0
790085,"Flour, whole wheat, unenriched",370.0
1104705,"Flour, soy, defatted",366.0
325198,"Cheese, pasteurized process, American, vitamin D fortified",366.0
