fdc_id,description,fat_g
330432,"Proximates, Oil, coconut, LOU ANA (MI,OK) - NFY120PE9",99.4
330425,"Proximates, Oil, coconut, LOU ANA (IN,AL) - NFY120PDT",99.2
330420,"Proximates, Oil, coconut, LOU ANA (NC) - NFY120PDN",99.2
330458,"Oil, coconut",99.1
330457,"Proximates, Oil, coconut, BETTER BODY ORGANIC (CA2) - NFY120PDG",99.0
330448,"Proximates, Oil, coconut, LOU ANA (CO,CT) - NFY120PD6",98.9
330440,"Proximates, Oil, coconut, LOU ANA (FL,MO) - NFY120PE1",98.6
790361,"Butter, stick, salted",88.1
790341,"Butter, stick, salted",83.6
790291,"Butter, stick, salted",82.6
789794,"Butter, stick, unsalted",82.6
789810,"Butter, stick, unsalted",82.6
790488,"Butter, stick, salted",82.4
790324,"Butter, stick, salted",82.2
790508,"Butter, stick, salted",82.2
790472,"Butter, stick, salted",82.0
789827,"Butter, stick, unsalted",81.8
790401,"Butter, stick, salted",81.7
790309,"Butter, stick, salted",81.6
789828,"Butter, stick, unsalted",81.5
